                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                 1.1407,                 0.7869,                 1.0192,                0.67254,                0.30292,                0.34096,                0.21973,                 1.1735,                0.79378,                0.99939,               0.003202,               0.003202,               0.003202
                    106,                 1.1417,                0.78755,                 1.0201,                0.67224,                0.30383,                0.34139,                0.21987,                 1.1732,                0.79332,                0.99922,               0.003136,               0.003136,               0.003136
                    107,                  1.141,                0.78716,                 1.0195,                0.67357,                0.30326,                0.34143,                0.21997,                 1.1731,                0.79306,                0.99907,                0.00307,                0.00307,                0.00307
                    108,                 1.1413,                0.78595,                 1.0202,                0.67035,                0.30335,                0.34129,                0.22002,                  1.173,                0.79265,                0.99893,               0.003004,               0.003004,               0.003004
                    109,                 1.1368,                0.78203,                  1.018,                 0.6733,                0.30363,                0.34167,                0.22019,                 1.1728,                0.79252,                 0.9987,               0.002938,               0.002938,               0.002938
                    110,                 1.1386,                0.77972,                 1.0178,                0.67343,                0.30338,                0.34182,                0.22025,                  1.173,                0.79223,                0.99869,               0.002872,               0.002872,               0.002872
                    111,                 1.1372,                0.78145,                 1.0167,                0.67461,                0.30345,                0.34171,                0.22021,                  1.173,                 0.7922,                0.99852,               0.002806,               0.002806,               0.002806
                    112,                 1.1348,                0.77815,                 1.0168,                0.67185,                0.30448,                0.34187,                0.22037,                 1.1728,                0.79208,                0.99842,                0.00274,                0.00274,                0.00274
                    113,                 1.1343,                0.77804,                 1.0159,                0.67296,                0.30451,                0.34208,                0.22043,                 1.1726,                0.79182,                0.99828,               0.002674,               0.002674,               0.002674
                    114,                 1.1309,                0.77404,                 1.0144,                0.67333,                0.30432,                0.34211,                0.22051,                 1.1726,                0.79162,                0.99807,               0.002608,               0.002608,               0.002608
