                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.37695,                0.21631,                0.82025,                0.91146,                0.92675,                0.96766,                0.67461,                0.89684,                0.45212,                  1.033,              0.0070795,              0.0070795,              0.0070795
                     62,                0.37949,                0.21982,                0.82093,                0.91404,                0.92345,                0.96723,                 0.6752,                0.89634,                0.45243,                 1.0326,                0.00703,                0.00703,                0.00703
                     63,                 0.3754,                0.21675,                0.82012,                0.91401,                0.91917,                0.96759,                0.67674,                0.89634,                0.45234,                 1.0326,              0.0069805,              0.0069805,              0.0069805
                     64,                0.37601,                0.21586,                 0.8206,                0.90944,                0.91769,                0.96656,                0.67675,                0.89732,                  0.455,                 1.0331,               0.006931,               0.006931,               0.006931
                     65,                0.37334,                0.21491,                0.81906,                0.91138,                0.91523,                0.96691,                0.67745,                0.89685,                0.45162,                 1.0331,              0.0068815,              0.0068815,              0.0068815
                     66,                0.37246,                0.21385,                0.81915,                0.91365,                0.90887,                0.96706,                0.67712,                0.89656,                0.45076,                 1.0331,               0.006832,               0.006832,               0.006832
                     67,                0.37235,                0.21367,                0.81861,                0.91365,                0.90771,                0.96657,                0.67599,                0.89633,                0.44991,                 1.0333,              0.0067825,              0.0067825,              0.0067825
                     68,                0.37002,                0.21378,                0.81862,                0.91701,                0.90531,                0.96652,                0.67574,                0.89629,                0.44905,                 1.0337,               0.006733,               0.006733,               0.006733
                     69,                0.36819,                0.21237,                0.81891,                0.91946,                0.90432,                0.96608,                0.67498,                0.89661,                0.44922,                 1.0336,              0.0066835,              0.0066835,              0.0066835
                     70,                0.36836,                0.21147,                0.81798,                0.91935,                0.90376,                0.96567,                0.67707,                0.89702,                0.44787,                 1.0332,               0.006634,               0.006634,               0.006634
                     71,                0.36603,                0.21014,                0.81805,                0.91811,                0.90287,                0.96529,                0.67747,                0.89732,                0.44831,                 1.0337,              0.0065845,              0.0065845,              0.0065845
                     72,                 0.3663,                0.21296,                0.81765,                 0.9235,                0.90149,                0.96541,                0.67748,                0.89762,                0.44678,                 1.0337,               0.006535,               0.006535,               0.006535
                     73,                0.36557,                0.21093,                0.81855,                 0.9259,                0.89543,                 0.9656,                0.67759,                0.89778,                0.44532,                 1.0336,              0.0064855,              0.0064855,              0.0064855
                     74,                0.36431,                0.20968,                0.81798,                 0.9236,                0.89664,                0.96526,                0.67684,                0.89797,                0.44498,                 1.0336,               0.006436,               0.006436,               0.006436
                     75,                  0.363,                0.20946,                0.81785,                0.92386,                 0.8984,                0.96534,                0.67732,                 0.8985,                 0.4453,                 1.0334,              0.0063865,              0.0063865,              0.0063865
                     76,                0.36194,                0.20898,                0.81695,                0.92636,                0.89714,                0.96535,                0.67709,                0.89819,                 0.4456,                  1.033,               0.006337,               0.006337,               0.006337
                     77,                0.36225,                0.20729,                0.81737,                 0.9253,                0.89523,                0.96479,                 0.6757,                0.89819,                0.44473,                 1.0331,              0.0062875,              0.0062875,              0.0062875
                     78,                0.36166,                 0.2076,                0.81611,                0.92591,                0.89456,                0.96399,                 0.6756,                0.89764,                0.44388,                 1.0335,               0.006238,               0.006238,               0.006238
                     79,                0.36006,                0.20697,                0.81667,                0.92689,                0.89048,                0.96432,                0.67612,                0.89732,                0.44443,                 1.0335,              0.0061885,              0.0061885,              0.0061885
                     80,                0.35737,                0.20552,                0.81597,                0.93023,                0.88853,                0.96392,                0.67684,                0.89705,                0.44564,                 1.0333,               0.006139,               0.006139,               0.006139
                     81,                0.35796,                0.20531,                0.81574,                0.93176,                0.88878,                0.96384,                0.67608,                0.89663,                0.44501,                 1.0334,              0.0060895,              0.0060895,              0.0060895
                     82,                0.35663,                0.20449,                0.81485,                0.93523,                0.88584,                0.96349,                0.67684,                0.89662,                0.44569,                 1.0331,                0.00604,                0.00604,                0.00604
                     83,                0.35762,                0.20457,                 0.8165,                0.93347,                 0.8891,                0.96314,                0.67566,                0.89686,                0.44602,                 1.0333,              0.0059905,              0.0059905,              0.0059905
                     84,                0.35511,                0.20327,                0.81432,                0.96231,                0.85855,                0.96306,                0.67647,                0.89683,                0.44554,                 1.0335,               0.005941,               0.005941,               0.005941
                     85,                0.35468,                 0.2028,                0.81417,                0.96146,                0.85974,                0.96323,                 0.6778,                0.89683,                0.44576,                 1.0336,              0.0058915,              0.0058915,              0.0058915
                     86,                0.35244,                0.20199,                0.81355,                0.96217,                 0.8599,                0.96378,                0.67848,                0.89729,                  0.447,                 1.0338,               0.005842,               0.005842,               0.005842
                     87,                 0.3514,                0.20195,                0.81251,                0.94306,                 0.8745,                0.96385,                0.68046,                0.89753,                0.44809,                 1.0334,              0.0057925,              0.0057925,              0.0057925
                     88,                0.35111,                 0.2021,                0.81465,                0.94645,                0.87387,                0.96389,                0.67991,                0.89756,                0.44861,                 1.0333,               0.005743,               0.005743,               0.005743
                     89,                0.35072,                0.20165,                0.81443,                0.95843,                 0.8695,                0.96392,                 0.6802,                0.89727,                0.44856,                  1.033,              0.0056935,              0.0056935,              0.0056935
                     90,                0.34925,                0.20072,                0.81414,                0.95845,                   0.87,                0.96342,                0.68092,                0.89719,                0.44974,                 1.0331,               0.005644,               0.005644,               0.005644
                     91,                0.34943,                0.20086,                0.81284,                0.95893,                0.87028,                0.96342,                0.68216,                0.89716,                0.44958,                 1.0336,              0.0055945,              0.0055945,              0.0055945
                     92,                0.34715,                0.19922,                0.81276,                 0.9573,                  0.872,                0.96334,                0.68198,                0.89739,                0.44805,                 1.0337,               0.005545,               0.005545,               0.005545
                     93,                0.34674,                0.20043,                0.81263,                0.95752,                 0.8724,                0.96348,                0.68299,                0.89776,                0.44943,                  1.034,              0.0054955,              0.0054955,              0.0054955
                     94,                0.34543,                0.19884,                0.81261,                0.95852,                 0.8725,                0.96339,                0.68291,                0.89702,                0.44884,                 1.0339,               0.005446,               0.005446,               0.005446
                     95,                0.34483,                0.19827,                0.81192,                0.95891,                0.87245,                0.96393,                0.68241,                0.89706,                0.44888,                 1.0338,              0.0053965,              0.0053965,              0.0053965
                     96,                0.34364,                0.19882,                0.81226,                0.95861,                0.87223,                0.96328,                0.68347,                0.89682,                0.44883,                 1.0338,               0.005347,               0.005347,               0.005347
                     97,                0.34231,                0.19726,                0.81122,                0.95988,                0.86661,                0.96267,                0.68502,                0.89652,                 0.4487,                 1.0339,              0.0052975,              0.0052975,              0.0052975
                     98,                0.34101,                0.19722,                0.81178,                0.96011,                0.86223,                0.96238,                0.68486,                0.89608,                0.44874,                 1.0338,               0.005248,               0.005248,               0.005248
                     99,                0.34137,                0.19763,                0.81168,                0.95962,                0.86291,                0.96245,                0.68451,                0.89573,                0.44804,                 1.0335,              0.0051985,              0.0051985,              0.0051985
                    100,                0.33941,                0.19598,                0.81075,                0.96596,                0.86159,                0.96274,                0.68541,                0.89549,                0.44811,                 1.0334,               0.005149,               0.005149,               0.005149
                    101,                0.33949,                0.19622,                0.81245,                0.96401,                 0.8621,                 0.9626,                0.68644,                0.89495,                0.44738,                 1.0329,              0.0050995,              0.0050995,              0.0050995
                    102,                0.33887,                0.19563,                0.81092,                0.96449,                0.86216,                0.96268,                0.68658,                0.89488,                 0.4477,                 1.0326,                0.00505,                0.00505,                0.00505
                    103,                0.33792,                0.19504,                0.81083,                0.96628,                0.86108,                0.96278,                0.68611,                0.89491,                0.44797,                 1.0325,              0.0050005,              0.0050005,              0.0050005
                    104,                0.33788,                0.19491,                 0.8108,                0.96277,                0.86377,                0.96267,                0.68593,                0.89484,                 0.4477,                 1.0323,               0.004951,               0.004951,               0.004951
                    105,                0.33611,                0.19412,                0.81089,                 0.9593,                0.86544,                0.96252,                0.68723,                0.89475,                0.44832,                 1.0322,              0.0049015,              0.0049015,              0.0049015
                    106,                0.33522,                 0.1935,                0.80999,                0.95466,                0.86964,                0.96242,                0.68654,                0.89452,                0.44907,                  1.032,               0.004852,               0.004852,               0.004852
                    107,                 0.3342,                0.19241,                0.80952,                0.95405,                0.87019,                0.96214,                0.68548,                0.89438,                0.44946,                  1.032,              0.0048025,              0.0048025,              0.0048025
                    108,                 0.3346,                0.19216,                 0.8102,                0.96271,                0.86579,                0.96254,                0.68498,                0.89429,                0.44954,                  1.032,               0.004753,               0.004753,               0.004753
                    109,                0.33266,                0.19155,                0.80934,                0.96504,                0.86573,                0.96285,                0.68475,                0.89404,                0.44907,                 1.0322,              0.0047035,              0.0047035,              0.0047035
                    110,                0.33236,                0.19243,                0.80899,                 0.9662,                0.86686,                0.96297,                0.68323,                0.89361,                0.44893,                 1.0318,               0.004654,               0.004654,               0.004654
                    111,                0.33132,                0.19075,                0.80912,                0.96602,                 0.8675,                0.96304,                0.68297,                0.89344,                0.44874,                 1.0319,              0.0046045,              0.0046045,              0.0046045
                    112,                 0.3303,                0.18979,                0.80916,                0.96219,                0.86891,                0.96285,                0.68234,                0.89309,                0.44853,                 1.0322,               0.004555,               0.004555,               0.004555
                    113,                0.32839,                0.18926,                0.80872,                0.96685,                0.86404,                0.96311,                0.68156,                0.89305,                0.44872,                 1.0325,              0.0045055,              0.0045055,              0.0045055
                    114,                0.32841,                0.18944,                0.80918,                0.96629,                0.86499,                0.96331,                0.68157,                0.89303,                0.44835,                 1.0325,               0.004456,               0.004456,               0.004456
                    115,                0.32739,                0.18849,                0.80843,                0.96231,                0.86972,                0.96389,                0.68039,                0.89293,                0.44749,                 1.0324,              0.0044065,              0.0044065,              0.0044065
                    116,                0.32558,                0.18732,                0.80821,                0.94373,                0.88117,                0.96376,                 0.6811,                0.89311,                0.44791,                  1.032,               0.004357,               0.004357,               0.004357
                    117,                 0.3257,                0.18705,                0.80829,                0.95059,                 0.8807,                0.96372,                0.67997,                0.89243,                0.44651,                 1.0316,              0.0043075,              0.0043075,              0.0043075
                    118,                0.32541,                0.18705,                0.80761,                0.95275,                 0.8804,                0.96378,                0.67926,                0.89189,                0.44615,                 1.0316,               0.004258,               0.004258,               0.004258
                    119,                0.32379,                0.18681,                0.80735,                0.95562,                 0.8713,                0.96325,                 0.6793,                0.89159,                0.44504,                 1.0312,              0.0042085,              0.0042085,              0.0042085
                    120,                0.32489,                0.18806,                0.80742,                0.95677,                 0.8725,                0.96379,                0.67838,                0.89168,                0.44413,                 1.0313,               0.004159,               0.004159,               0.004159
                    121,                0.32233,                0.18581,                0.80583,                0.96024,                0.87236,                0.96341,                0.67812,                0.89154,                 0.4438,                 1.0309,              0.0041095,              0.0041095,              0.0041095
                    122,                0.32286,                0.18589,                0.80751,                0.95802,                0.87255,                0.96357,                0.67806,                0.89194,                0.44359,                 1.0311,                0.00406,                0.00406,                0.00406
                    123,                0.32014,                 0.1843,                 0.8066,                0.94314,                0.88476,                0.96383,                0.67728,                0.89198,                0.44308,                 1.0313,              0.0040105,              0.0040105,              0.0040105
                    124,                0.31885,                0.18323,                0.80573,                 0.9436,                0.88431,                0.96407,                0.67815,                  0.892,                0.44303,                 1.0312,               0.003961,               0.003961,               0.003961
                    125,                0.31812,                0.18336,                0.80559,                0.94599,                0.88391,                0.96448,                0.67879,                0.89253,                0.44445,                 1.0314,              0.0039115,              0.0039115,              0.0039115
