                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 0.4369,                0.24322,                0.83704,                0.93243,                0.88153,                0.96181,                0.67367,                0.90291,                0.46616,                 1.0415,               0.006436,               0.006436,               0.006436
                     75,                0.43571,                0.24274,                0.83606,                0.93313,                0.88535,                 0.9618,                0.67363,                0.90307,                0.46703,                 1.0414,              0.0063865,              0.0063865,              0.0063865
                     76,                0.43382,                0.24081,                0.83402,                0.92235,                0.88475,                0.95877,                0.67287,                0.90395,                0.46939,                 1.0418,               0.006337,               0.006337,               0.006337
                     77,                0.43376,                0.24095,                0.83509,                0.92145,                0.88813,                0.95889,                0.67151,                0.90445,                0.46984,                 1.0419,              0.0062875,              0.0062875,              0.0062875
                     78,                0.43436,                0.24078,                0.83539,                0.91578,                0.88911,                0.95758,                0.67092,                0.90531,                0.47087,                 1.0423,               0.006238,               0.006238,               0.006238
                     79,                0.43273,                0.24139,                0.83537,                0.91832,                0.88889,                0.95643,                 0.6718,                  0.905,                0.46969,                 1.0424,              0.0061885,              0.0061885,              0.0061885
                     80,                0.43136,                 0.2395,                0.83471,                0.92199,                0.88581,                0.95644,                0.67182,                0.90502,                0.46989,                 1.0425,               0.006139,               0.006139,               0.006139
                     81,                0.43068,                0.24027,                  0.834,                0.92149,                 0.8805,                0.95602,                0.67262,                0.90479,                0.46998,                 1.0429,              0.0060895,              0.0060895,              0.0060895
                     82,                0.42973,                0.23878,                0.83465,                0.92431,                 0.8847,                0.95938,                0.67147,                0.90485,                0.47087,                 1.0429,                0.00604,                0.00604,                0.00604
                     83,                 0.4306,                0.23896,                0.83505,                0.92482,                0.88369,                0.95874,                0.67095,                0.90479,                0.47144,                 1.0429,              0.0059905,              0.0059905,              0.0059905
                     84,                0.42814,                0.23725,                0.83294,                0.92311,                0.87907,                0.95573,                 0.6703,                0.90453,                0.47264,                 1.0429,               0.005941,               0.005941,               0.005941
                     85,                0.42776,                0.23715,                0.83273,                0.92649,                0.88082,                0.95807,                0.67152,                0.90417,                0.47269,                 1.0431,              0.0058915,              0.0058915,              0.0058915
                     86,                0.42546,                0.23609,                0.83251,                0.92351,                0.87787,                 0.9554,                0.67075,                0.90405,                0.47286,                 1.0432,               0.005842,               0.005842,               0.005842
                     87,                0.42361,                0.23497,                0.83249,                0.92762,                 0.8768,                0.95559,                0.67081,                0.90413,                0.47364,                 1.0435,              0.0057925,              0.0057925,              0.0057925
                     88,                0.42437,                0.23528,                0.83284,                0.93429,                0.87382,                0.95542,                0.67044,                0.90439,                0.47425,                 1.0441,               0.005743,               0.005743,               0.005743
                     89,                0.42375,                0.23512,                0.83345,                0.93416,                0.87272,                0.95585,                0.67055,                0.90422,                0.47365,                 1.0439,              0.0056935,              0.0056935,              0.0056935
